,Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Measurement_ID,Metrics,Is_Exception
181,Calumet Beach,2014-06-01T06:00:00,17.7,1.5,1.471,0.172,3.0,11.6,CalumetBeach201406010600,627.0,1
182,Montrose Beach,2014-06-01T06:00:00,15.1,0.54,1.385,0.154,3.0,11.7,MontroseBeach201406010600,544.1600000000001,1
183,Calumet Beach,2014-06-01T07:00:00,17.7,1.44,1.448,0.169,3.0,11.6,CalumetBeach201406010700,622.26,1
184,Montrose Beach,2014-06-01T07:00:00,15.1,0.49,1.381,0.152,6.0,11.7,MontroseBeach201406010700,549.96,1
185,Calumet Beach,2014-06-01T08:00:00,17.8,1.38,1.418,0.168,3.0,11.6,CalumetBeach201406010800,622.52,1
186,Montrose Beach,2014-06-01T08:00:00,15.2,0.43,1.362,0.151,3.0,11.7,MontroseBeach201406010800,541.22,1
187,Calumet Beach,2014-06-01T09:00:00,18.0,1.39,1.466,0.151,3.0,11.6,CalumetBeach201406010900,601.06,1
188,Montrose Beach,2014-06-01T09:00:00,15.3,0.36,1.391,0.16,3.0,11.7,MontroseBeach201406010900,556.44,1
189,Montrose Beach,2014-06-01T10:00:00,15.6,0.33,1.358,0.163,3.0,11.7,MontroseBeach201406011000,566.8199999999999,1
190,Calumet Beach,2014-06-01T10:00:00,18.2,1.43,1.446,0.127,3.0,11.6,CalumetBeach201406011000,569.22,1
191,Montrose Beach,2014-06-01T11:00:00,15.8,0.33,1.362,0.175,3.0,11.7,MontroseBeach201406011100,588.8199999999999,1
192,Calumet Beach,2014-06-01T11:00:00,18.2,1.34,1.443,0.126,3.0,11.6,CalumetBeach201406011100,567.36,1
193,Montrose Beach,2014-06-01T12:00:00,16.0,0.4,1.364,0.155,3.0,11.7,MontroseBeach201406011200,563.1,1
194,Calumet Beach,2014-06-01T12:00:00,18.5,1.31,1.462,0.123,2.0,11.6,CalumetBeach201406011200,565.74,1
195,Montrose Beach,2014-06-01T13:00:00,16.2,0.35,1.363,0.156,3.0,11.7,MontroseBeach201406011300,568.4,1
196,Calumet Beach,2014-06-01T13:00:00,18.8,1.29,1.403,0.117,3.532434931959308,11.6,CalumetBeach201406011300,567.257304795878,1
197,Montrose Beach,2014-06-01T14:00:00,16.3,0.32,1.359,0.138,3.0,11.7,MontroseBeach201406011400,543.28,1
198,Calumet Beach,2014-06-01T14:00:00,18.9,1.27,1.449,0.119,3.0,11.6,CalumetBeach201406011400,570.5799999999999,1
